passenger_name,tpep_pickup_datetime,tpep_dropoff_datetime,payment_method,passenger_count,trip_distance,fare_amount,tip_amount,tolls_amount,passenger_first_name,travel_time,total_amount
Bonnie Henderson,2017-04-26 18:08:41,2017-04-26 18:11:08,Cash,5,0.38,4.0,1.16,0.0,Bonnie,0 days 00:02:27,5.16
Kaitlin Watkins,2017-04-21 15:08:21,2017-04-21 15:18:09,Cash,1,1.15,8.0,1.76,0.0,Kaitlin,0 days 00:09:48,9.76
John Reed,2017-02-04 18:04:26,2017-02-04 18:19:15,Card,1,7.16,21.0,0.0,0.0,John,0 days 00:14:49,21.0
John Tucker,2017-03-17 09:17:05,2017-03-17 09:21:34,Card,1,0.7,5.0,1.15,0.0,John,0 days 00:04:29,6.15
Maria Williams,2017-12-31 13:03:12,2017-12-31 13:06:52,Cash,6,0.71,4.5,0.0,0.0,Maria,0 days 00:03:40,4.5
Steven Parker,2017-09-03 23:15:56,2017-09-03 23:31:25,Cash,2,2.96,13.0,2.86,0.0,Steven,0 days 00:15:29,15.86
Scott Rodriguez,2017-12-13 07:06:10,2017-12-13 07:11:40,Card,1,0.8,5.5,1.0,0.0,Scott,0 days 00:05:30,6.5
Timothy Payne,2017-08-01 18:09:45,2017-08-01 18:14:05,Card,1,0.96,5.5,0.0,0.0,Timothy,0 days 00:04:20,5.5
Angela Holder,2017-10-10 14:40:11,2017-10-10 14:54:27,Card,4,1.9,10.5,0.0,0.0,Angela,0 days 00:14:16,10.5
Jennifer Martin,2017-08-05 22:28:06,2017-08-05 22:34:13,Card,4,0.97,6.5,0.0,0.0,Jennifer,0 days 00:06:07,6.5
Chris Jones,2017-08-13 03:50:10,2017-08-13 03:53:43,Card,2,0.95,5.0,1.0,0.0,Chris,0 days 00:03:33,6.0
Kelly Reed,2017-04-25 22:20:43,2017-04-25 22:25:28,Cash,4,1.02,6.0,1.46,0.0,Kelly,0 days 00:04:45,7.46
Stephanie Mcdaniel,2017-05-01 09:42:27,2017-05-01 09:47:29,Cash,1,0.78,5.0,1.0,0.0,Stephanie,0 days 00:05:02,6.0
Daniel Cruz,2017-06-03 18:55:02,2017-06-03 19:03:22,Cash,6,1.16,7.0,1.95,0.0,Daniel,0 days 00:08:20,8.95
James Thomas,2017-04-16 02:43:35,2017-04-16 03:04:48,Card,3,4.3,17.5,2.22,0.0,James,0 days 00:21:13,19.72
Courtney Taylor,2017-02-25 13:04:27,2017-02-25 13:15:41,Card,1,1.9,9.5,2.55,0.0,Courtney,0 days 00:11:14,12.05
Vincent Vargas,2017-03-17 22:00:41,2017-03-17 22:22:57,Card,2,11.2,31.5,6.56,0.0,Vincent,0 days 00:22:16,38.06
Holly Maldonado,2017-01-10 21:06:58,2017-01-10 21:13:20,Card,1,2.0,8.0,0.0,0.0,Holly,0 days 00:06:22,8.0
Rhonda Harris,2017-11-16 09:31:00,2017-11-16 09:43:17,Card,2,1.02,8.5,1.86,0.0,Rhonda,0 days 00:12:17,10.36
John Fisher,2017-10-28 04:16:54,2017-10-28 04:33:06,Card,3,5.11,16.5,5.34,0.0,John,0 days 00:16:12,21.84
Amy Edwards,2017-10-13 15:48:39,2017-10-13 15:56:17,Cash,1,0.96,6.5,0.0,0.0,Amy,0 days 00:07:38,6.5
Katherine Briggs,2017-09-20 23:46:44,2017-09-20 23:54:08,Cash,1,1.9,8.0,1.86,0.0,Katherine,0 days 00:07:24,9.86
Richard Gregory,2017-07-29 13:27:34,2017-07-29 13:36:28,Cash,1,1.6,8.0,1.0,0.0,Richard,0 days 00:08:54,9.0
Kristi Ray,2017-09-06 11:37:10,2017-09-06 11:40:44,Card,1,0.4,4.5,0.0,0.0,Kristi,0 days 00:03:34,4.5
Amy Baker,2017-09-28 07:17:44,2017-09-28 07:21:35,Cash,1,0.9,5.0,1.0,0.0,Amy,0 days 00:03:51,6.0
Angela Smith,2017-08-18 01:17:32,2017-08-18 01:34:48,Card,1,4.96,17.0,3.66,0.0,Angela,0 days 00:17:16,20.66
Karen Carpenter DVM,2017-02-28 18:02:05,2017-02-28 18:13:30,Cash,1,4.9,16.0,5.3,0.0,Karen,0 days 00:11:25,21.3
Mr. Paul Owens,2017-03-10 18:31:50,2017-03-10 18:58:46,Cash,1,9.6,30.5,0.0,0.0,Mr.,0 days 00:26:56,30.5
Teresa Phillips,2017-05-06 14:54:22,2017-05-06 15:19:17,Card,1,2.9,17.5,0.0,0.0,Teresa,0 days 00:24:55,17.5
Rebecca Graham,2017-07-15 00:28:27,2017-07-15 00:37:09,Cash,2,1.62,8.0,1.0,0.0,Rebecca,0 days 00:08:42,9.0
Elizabeth Summers,2017-10-17 14:29:39,2017-10-17 15:00:14,Card,1,13.8,39.0,9.1,5.76,Elizabeth,0 days 00:30:35,53.86
Alyssa Zuniga,2017-02-11 19:09:12,2017-02-11 19:32:20,Cash,1,1.7,14.5,1.0,0.0,Alyssa,0 days 00:23:08,15.5
Daniel Thomas,2017-06-23 19:53:53,2017-06-23 20:00:57,Cash,2,0.88,6.5,0.5,0.0,Daniel,0 days 00:07:04,7.0
Tony Love,2017-03-26 20:06:55,2017-03-26 20:14:43,Cash,1,1.46,7.0,1.24,0.0,Tony,0 days 00:07:48,8.24
James Ponce,2017-07-27 10:10:04,2017-07-27 10:23:13,Card,1,1.66,10.0,1.2,0.0,James,0 days 00:13:09,11.2
Kimberly Cole,2017-12-11 20:04:27,2017-12-11 20:16:10,Cash,1,1.63,9.5,2.16,0.0,Kimberly,0 days 00:11:43,11.66
Kevin Sosa,2017-11-18 13:04:54,2017-11-18 13:39:53,Card,1,10.0,34.5,7.05,0.0,Kevin,0 days 00:34:59,41.55
Dr. Daniel Davidson,2017-03-18 23:41:50,2017-03-18 23:49:21,Cash,1,1.42,7.0,0.0,0.0,Dr.,0 days 00:07:31,7.0
Crystal Wright,2017-03-31 20:18:22,2017-03-31 20:50:17,Cash,3,9.67,31.0,8.08,0.0,Crystal,0 days 00:31:55,39.08
Denise Clements,2017-05-24 20:46:11,2017-05-24 21:02:29,Card,1,2.3,12.5,2.75,0.0,Denise,0 days 00:16:18,15.25
Brian West,2017-02-15 20:16:09,2017-02-15 20:39:44,Cash,1,4.7,18.5,3.0,0.0,Brian,0 days 00:23:35,21.5
Harold Myers,2017-09-29 11:38:58,2017-09-29 12:10:34,Cash,1,3.5,19.5,0.0,0.0,Harold,0 days 00:31:36,19.5
Michelle Smith,2017-08-16 09:30:43,2017-08-16 09:46:07,Cash,1,2.7,12.5,0.0,0.0,Michelle,0 days 00:15:24,12.5
Peter Sanchez,2017-06-13 19:17:33,2017-06-13 19:27:33,Card,2,1.07,8.0,0.0,0.0,Peter,0 days 00:10:00,8.0
Matthew Torres,2017-08-05 15:42:20,2017-08-05 16:00:35,Card,2,2.3,13.0,0.0,0.0,Matthew,0 days 00:18:15,13.0
Danielle Hall,2017-05-13 20:55:32,2017-05-13 21:20:31,Cash,1,6.93,24.0,0.0,0.0,Danielle,0 days 00:24:59,24.0
Danielle Hall,2017-04-10 22:17:19,2017-04-10 22:33:30,Cash,6,2.95,13.5,0.0,0.0,Danielle,0 days 00:16:11,13.5
Nathan Miller,2017-06-03 14:24:57,2017-06-03 15:31:48,Cash,1,18.0,52.0,0.0,0.0,Nathan,0 days 01:06:51,52.0
Eric Duarte,2017-11-17 12:01:00,2017-11-17 12:24:22,Card,6,6.25,22.5,4.66,0.0,Eric,0 days 00:23:22,27.16
Angelica Savage,2017-09-28 21:17:50,2017-09-28 21:30:03,Card,1,1.8,9.5,0.0,0.0,Angelica,0 days 00:12:13,9.5
Bradley Wright,2017-04-01 02:56:51,2017-04-01 03:00:35,Card,6,0.63,4.5,1.16,0.0,Bradley,0 days 00:03:44,5.66
Miranda Gilmore,2017-10-21 19:27:11,2017-10-21 19:34:31,Card,2,1.3,7.0,0.0,0.0,Miranda,0 days 00:07:20,7.0
Maria Perry,2017-12-29 17:22:05,2017-12-29 17:32:05,Cash,6,3.22,11.5,3.32,0.0,Maria,0 days 00:10:00,14.82
Edward Jones,2017-09-27 09:10:06,2017-09-27 09:16:56,Cash,2,1.09,6.5,1.0,0.0,Edward,0 days 00:06:50,7.5
Justin Johnson,2017-07-09 02:27:01,2017-07-09 02:35:16,Card,1,0.79,7.0,0.0,0.0,Justin,0 days 00:08:15,7.0
Ariel Stokes,2017-10-15 01:04:26,2017-10-15 01:09:50,Cash,1,1.1,5.5,1.35,0.0,Ariel,0 days 00:05:24,6.85
Chase Brewer,2017-06-23 17:55:36,2017-06-23 18:29:34,Cash,1,2.73,20.5,4.46,0.0,Chase,0 days 00:33:58,24.96
Rodney Martin,2017-06-09 23:53:57,2017-06-10 00:02:51,Card,1,1.9,9.0,0.0,0.0,Rodney,0 days 00:08:54,9.0
Dalton Davis,2017-03-04 16:40:16,2017-03-04 16:56:11,Cash,5,2.85,12.5,1.0,0.0,Dalton,0 days 00:15:55,13.5
Nicole Boyd,2017-09-08 21:45:59,2017-09-08 22:02:24,Cash,1,1.8,11.5,0.0,0.0,Nicole,0 days 00:16:25,11.5
Kelly Williams,2017-04-07 13:53:14,2017-04-07 13:59:27,Card,2,0.83,6.0,0.7,0.0,Kelly,0 days 00:06:13,6.7
Peter Bender,2017-12-22 11:49:37,2017-12-22 12:21:07,Cash,1,4.2,22.0,4.56,0.0,Peter,0 days 00:31:30,26.56
Crystal Henson,2017-12-18 19:21:19,2017-12-18 19:37:07,Card,1,1.6,11.0,0.0,0.0,Crystal,0 days 00:15:48,11.0
Nathan Barnett,2017-12-06 22:49:28,2017-12-06 22:53:36,Cash,1,0.5,4.5,2.0,0.0,Nathan,0 days 00:04:08,6.5
Kimberly Perry,2017-05-19 08:05:49,2017-05-19 08:20:09,Card,1,1.71,10.5,2.26,0.0,Kimberly,0 days 00:14:20,12.76
Diana Odonnell MD,2017-06-17 00:21:33,2017-06-17 00:26:29,Card,1,1.06,5.5,0.0,0.0,Diana,0 days 00:04:56,5.5
Daniel Miller,2017-03-18 23:23:48,2017-03-18 23:43:44,Cash,2,4.1,17.5,3.75,0.0,Daniel,0 days 00:19:56,21.25
Tammy Moody,2017-12-12 16:50:38,2017-12-12 16:56:27,Card,1,1.08,6.0,1.17,0.0,Tammy,0 days 00:05:49,7.17
Sara Williamson,2017-11-24 15:17:47,2017-11-24 15:33:57,Card,1,2.6,13.0,0.0,0.0,Sara,0 days 00:16:10,13.0
Tyler Turner,2017-12-29 16:04:10,2017-12-29 16:10:06,Card,1,0.91,6.0,0.0,0.0,Tyler,0 days 00:05:56,6.0
Victor Gomez,2017-07-18 19:11:53,2017-07-18 19:23:35,Cash,1,0.95,8.5,2.0,0.0,Victor,0 days 00:11:42,10.5
Adrienne Owens,2017-01-08 02:59:32,2017-01-08 03:04:25,Cash,1,1.71,6.5,1.0,0.0,Adrienne,0 days 00:04:53,7.5
David Burke,2017-07-09 03:01:18,2017-07-09 03:11:20,Cash,1,2.62,10.0,0.0,0.0,David,0 days 00:10:02,10.0
John Savage,2017-08-28 11:51:26,2017-08-28 12:20:34,Cash,1,9.0,28.0,0.0,0.0,John,0 days 00:29:08,28.0
Dawn Bradley,2017-07-17 14:20:31,2017-07-17 14:24:40,Card,1,0.67,4.5,1.06,0.0,Dawn,0 days 00:04:09,5.5600000000000005
Scott Olsen,2017-08-16 21:37:16,2017-08-16 21:42:40,Card,2,1.1,6.0,1.45,0.0,Scott,0 days 00:05:24,7.45
Erin Allen,2017-12-13 14:05:28,2017-12-13 14:20:29,Card,2,2.14,11.5,0.0,0.0,Erin,0 days 00:15:01,11.5
Mark Todd,2017-10-18 07:42:38,2017-10-18 07:49:21,Cash,1,1.4,6.5,1.45,0.0,Mark,0 days 00:06:43,7.95
Lauren Dawson,2017-12-26 23:33:55,2017-12-26 23:38:49,Cash,1,1.0,5.5,0.0,0.0,Lauren,0 days 00:04:54,5.5
Jeremy Brown,2017-03-15 21:17:04,2017-03-15 21:23:59,Cash,1,1.84,7.5,0.0,0.0,Jeremy,0 days 00:06:55,7.5
Angel Hudson,2017-12-12 12:32:11,2017-12-12 12:35:27,Cash,1,0.55,4.0,1.2,0.0,Angel,0 days 00:03:16,5.2
Jasmine Young,2017-04-06 02:45:19,2017-04-06 02:47:22,Cash,1,0.3,3.5,0.0,0.0,Jasmine,0 days 00:02:03,3.5
Ralph Elliott,2017-04-14 12:49:44,2017-04-14 12:58:24,Card,1,1.39,8.0,2.2,0.0,Ralph,0 days 00:08:40,10.2
Samuel Hodges,2017-03-03 09:18:43,2017-03-03 09:34:52,Cash,1,1.5,11.0,0.0,0.0,Samuel,0 days 00:16:09,11.0
Mary Richmond,2017-02-03 06:24:44,2017-02-03 06:30:49,Cash,1,1.1,6.0,0.0,0.0,Mary,0 days 00:06:05,6.0
Jeffrey Allen,2017-03-15 15:42:07,2017-03-15 15:46:27,Card,1,0.5,4.5,1.05,0.0,Jeffrey,0 days 00:04:20,5.55
Shannon Johns,2017-05-19 14:10:22,2017-05-19 14:28:56,Cash,1,1.57,12.5,2.66,0.0,Shannon,0 days 00:18:34,15.16
Tony Trevino,2017-09-15 22:13:28,2017-09-15 22:15:57,Cash,2,1.03,5.0,1.26,0.0,Tony,0 days 00:02:29,6.26
Barbara Gordon,2017-04-17 12:03:15,2017-04-17 12:40:01,Cash,5,11.51,39.5,0.0,5.76,Barbara,0 days 00:36:46,45.26
Danielle Jones,2017-09-01 23:10:27,2017-09-01 23:14:38,Cash,2,0.65,5.0,0.0,0.0,Danielle,0 days 00:04:11,5.0
Mrs. Cynthia Williams,2017-11-29 11:13:29,2017-11-29 11:47:12,Cash,1,2.8,20.5,3.2,0.0,Mrs.,0 days 00:33:43,23.7
Julie Collins,2017-01-22 00:35:47,2017-01-22 01:05:47,Cash,2,6.14,24.5,0.0,0.0,Julie,0 days 00:30:00,24.5
David Brooks,2017-12-11 10:21:18,2017-12-11 11:14:57,Card,1,15.6,51.5,11.6,5.76,David,0 days 00:53:39,68.86
Ivan Cowan,2017-10-24 15:21:41,2017-10-24 15:39:40,Card,1,1.5,12.5,3.95,0.0,Ivan,0 days 00:17:59,16.45
Hector Mcdonald,2017-12-04 23:16:21,2017-12-04 23:37:01,Cash,1,7.0,23.0,3.0,0.0,Hector,0 days 00:20:40,26.0
Christopher Ford,2017-04-21 23:15:54,2017-04-21 23:27:41,Cash,1,2.6,11.0,3.0,0.0,Christopher,0 days 00:11:47,14.0
Evelyn Willis,2017-04-29 13:29:04,2017-04-29 13:48:15,Card,1,3.1,15.0,1.0,0.0,Evelyn,0 days 00:19:11,16.0
Rebecca Patterson,2017-04-12 20:13:55,2017-04-12 20:30:59,Cash,1,2.1,12.0,2.65,0.0,Rebecca,0 days 00:17:04,14.65
Michael Mckinney,2017-08-23 15:26:21,2017-08-23 15:42:56,Card,2,1.97,12.0,0.0,0.0,Michael,0 days 00:16:35,12.0
Margaret Cook,2017-06-07 07:55:31,2017-06-07 08:10:37,Cash,1,4.67,17.0,3.56,0.0,Margaret,0 days 00:15:06,20.56
Sean Robinson,2017-03-22 22:55:41,2017-03-22 23:18:02,Cash,1,4.31,17.5,3.76,0.0,Sean,0 days 00:22:21,21.259999999999998
Mrs. Sarah Burke MD,2017-06-08 19:27:01,2017-06-08 19:34:50,Cash,1,0.84,6.5,0.0,0.0,Mrs.,0 days 00:07:49,6.5
Philip Cameron,2017-10-05 00:02:28,2017-10-05 00:13:38,Card,2,2.34,10.5,2.36,0.0,Philip,0 days 00:11:10,12.86
Julia Davis,2017-06-19 01:03:56,2017-06-19 01:07:06,Card,2,1.04,5.0,0.0,0.0,Julia,0 days 00:03:10,5.0
Brian Jones,2017-04-15 12:08:51,2017-04-15 12:27:40,Cash,6,2.84,14.0,2.96,0.0,Brian,0 days 00:18:49,16.96
Brian Reed,2017-07-15 22:34:32,2017-07-15 23:02:01,Card,1,3.9,19.0,0.0,0.0,Brian,0 days 00:27:29,19.0
Nancy Thompson,2017-02-12 15:37:16,2017-02-12 16:03:24,Card,1,5.27,22.0,0.0,0.0,Nancy,0 days 00:26:08,22.0
Lacey Thompson,2017-04-20 07:13:18,2017-04-20 07:29:07,Cash,1,3.3,13.5,2.85,0.0,Lacey,0 days 00:15:49,16.35
Cynthia White,2017-06-22 14:22:05,2017-06-22 16:07:28,Card,1,16.9,71.5,0.0,0.0,Cynthia,0 days 01:45:23,71.5
Linda Lopez,2017-08-16 18:31:15,2017-08-16 18:37:37,Cash,1,1.4,6.5,1.65,0.0,Linda,0 days 00:06:22,8.15
Jorge Walker,2017-06-13 20:05:03,2017-06-13 20:42:53,Card,1,18.05,69.5,0.0,10.5,Jorge,0 days 00:37:50,80.0
Andrea Mathis,2017-06-13 19:04:30,2017-06-13 19:09:05,Card,3,0.47,5.0,1.36,0.0,Andrea,0 days 00:04:35,6.36
Kristi Young,2017-07-08 14:42:21,2017-07-08 15:00:29,Cash,3,2.3,13.0,2.76,0.0,Kristi,0 days 00:18:08,15.76
Kerri Carey,2017-12-27 17:40:19,2017-12-27 18:01:03,Card,1,8.32,25.5,5.0,5.76,Kerri,0 days 00:20:44,36.26
Terry Smith,2017-02-03 20:40:17,2017-02-03 20:44:15,Card,2,0.95,5.5,1.02,0.0,Terry,0 days 00:03:58,6.52
Douglas Weaver,2017-01-20 19:57:42,2017-01-20 20:05:12,Cash,1,0.66,6.5,1.0,0.0,Douglas,0 days 00:07:30,7.5
John Morrow,2017-06-07 22:52:36,2017-06-07 23:07:32,Card,1,3.8,14.5,3.15,0.0,John,0 days 00:14:56,17.65
Frank Barnes,2017-05-01 22:09:25,2017-05-01 22:22:08,Cash,1,2.4,11.0,3.05,0.0,Frank,0 days 00:12:43,14.05
Dawn Peterson,2017-05-15 08:22:26,2017-05-15 08:57:04,Card,2,4.24,22.5,4.66,0.0,Dawn,0 days 00:34:38,27.16
Renee Johnson,2017-11-07 07:38:58,2017-11-07 07:50:30,Card,1,1.77,9.5,0.0,0.0,Renee,0 days 00:11:32,9.5
Ashley Bell,2017-10-31 22:24:38,2017-10-31 22:46:52,Cash,1,2.4,15.0,3.25,0.0,Ashley,0 days 00:22:14,18.25
Tammy Duran,2017-12-04 17:39:14,2017-12-04 17:56:05,Card,1,2.5,12.5,0.0,0.0,Tammy,0 days 00:16:51,12.5
Henry Anderson,2017-05-29 21:48:43,2017-05-29 21:57:47,Cash,2,2.5,9.5,1.5,0.0,Henry,0 days 00:09:04,11.0
Laura Bennett,2017-09-07 08:10:12,2017-09-07 08:15:38,Card,1,0.99,6.0,3.0,0.0,Laura,0 days 00:05:26,9.0
Dylan Meyer,2017-10-05 18:49:25,2017-10-05 19:01:35,Card,2,2.2,10.5,1.6,0.0,Dylan,0 days 00:12:10,12.1
Samantha Miller,2017-09-15 19:17:58,2017-09-15 19:54:54,Cash,2,3.3,22.0,4.75,0.0,Samantha,0 days 00:36:56,26.75
